user,Welches Geschlecht haben Sie?,Wurden Sie in Deutschland geboren?,Wurde Ihre Mutter in Deutschland geboren?,Wurde Ihr Vater in Deutschland geboren?,"Hier ist eine Liste mit Klassen des monatlichen Haushaltseinkommens. Bitte geben Sie an, in welcher Klasse sich Ihr Haushalt befindet, wenn Sie das monatliche Nettoeinkommen aller Haushaltsmitglieder zusammenzählen: Löhne, Renten und andere Einkommen nach allen Abzügen für Steuern und Sozialversicherungen.","Was ist der höchste allgemeinbildende Schulabschluss, den Sie erreicht haben?","Was ist der höchste Studienabschluss, den Sie erreicht haben?","Was ist der höchste berufliche Ausbildungsabschluss, den Sie erreicht haben?","Sind Sie zurzeit berufstätig oder nicht? Bitte wählen Sie von dieser Liste das aus, was auf Sie zutrifft.",Welchen Familienstand haben Sie?,Welcher Religionsgemeinschaft gehören Sie an?,Welcher dieser Berufsgruppen ordnen Sie sich primär zu?,Was ist Ihre Postleitzahl? ,Wie alt sind Sie? 
IDDE100182,männlich,Ja,Ja,Ja,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",46145,54
IDDE100183,weiblich,Nein,Nein,Nein,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",keine Antwort,Weniger als 30 Stunden in der Woche,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),keine Antwort,32139,35
IDDE100184,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss",30 Stunden in der Woche oder mehr,Eingetragene Lebenspartnerschaft,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",4828,62
IDDE100185,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",79232,45
IDDE100187,weiblich,Ja,Nein,Nein,über 1800 bis 2200 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Bachelor einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,Dienstleistungsberufe in der medizinischen und Alterspflege,81739,28
IDDE100188,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,keine Antwort,Dauerhaft arbeitsunfähig wegen einer Behinderung,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),keine Antwort,74523,39
IDDE100189,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",99084,40
IDDE100190,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Weniger als 30 Stunden in der Woche,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",53947,27
IDDE100191,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Master einer Berufsakademie,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss",30 Stunden in der Woche oder mehr,Verheiratet,keiner,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",32108,59
IDDE100192,weiblich,Nein,Nein,Nein,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Master einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),Bundesfreiwilligendienst,Eingetragene Lebenspartnerschaft,Unknown,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",41460,75
IDDE100193,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)","Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,keine Antwort,Dienstleistungsberufe in der medizinischen und Alterspflege,24641,63
IDDE100194,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Laufbahnprüfung für den mittleren Dienst,"Rentner, Ruhestand",Verheiratet,keine Antwort,keine Antwort,13509,77
IDDE100195,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",69126,56
IDDE100196,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",53115,23
IDDE100197,männlich,Nein,Nein,Nein,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Bachelor einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Weiß nicht,30 Stunden in der Woche oder mehr,Verheiratet,Dem Islam,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",60316,49
IDDE100199,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",89134,22
IDDE100200,männlich,Ja,Ja,Ja,über 1100 bis 1500 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Geschieden,Der evangelischen Kirche (ohne Freikirchen),weiss nicht,7368,79
IDDE100204,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der römisch-katholischen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",82294,60
IDDE100205,weiblich,Nein,Ja,Nein,über 1800 bis 2200 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,Weniger als 30 Stunden in der Woche,Verheiratet,Der griechisch-orthodoxen Kirche,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",45888,35
IDDE100206,weiblich,Ja,Ja,Ja,bis 1100 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Bachelor einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Weiß nicht,"Schüler, Student, in Ausbildung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),Studierende,78464,29
IDDE100207,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Laufbahnprüfung für den mittleren Dienst,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,Dienstleistungsberufe in der medizinischen und Alterspflege,9376,45
IDDE100208,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss","Rentner, Ruhestand",Verwitwet,Der römisch-katholischen Kirche,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",37633,82
IDDE100209,männlich,Ja,Ja,Ja,bis 1100 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,"Zwischenprüfung, Vordiplom",Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Geschieden,Der römisch-katholischen Kirche,keine Antwort,92224,64
IDDE100210,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Zwischenprüfung, Vordiplom",Laufbahnprüfung für den mittleren Dienst,30 Stunden in der Woche oder mehr,Verwitwet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",78462,61
IDDE100211,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Angelernte Arbeitskräfte in technischen und handwerklichen Berufen wie: Busfahrer, Möbelmonteur, Pförtner, Lagerarbeiter",66822,65
IDDE100212,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",55592,60
IDDE100213,männlich,Ja,Nein,Ja,über 1500 bis 1800 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,Kein Studienabschluss,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss","Rentner, Ruhestand",Verwitwet,keine Antwort,weiss nicht,31167,68
IDDE100214,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),keine Antwort,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Ungelernte Arbeitskräfte in technischen und handwerklichen Berufen wie: Hilfsarbeiter, ungelernter Fabrikarbeiter, Reinigungskraft",3229,40
IDDE100215,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung",Verheiratet,keine Antwort,keine Antwort,84508,43
IDDE100217,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Weniger als 30 Stunden in der Woche,Verheiratet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",22523,63
IDDE100218,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)",Dauerhaft arbeitsunfähig wegen einer Behinderung,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,keine Antwort,65439,35
IDDE100219,männlich,Ja,Ja,Ja,über 4250 bis 5250 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Eingetragene Lebenspartnerschaft,Der römisch-katholischen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",69488,66
IDDE100220,männlich,Ja,Nein,Ja,über 2200 bis 2600 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Bachelor einer Verwaltungs-/Fachhochschule,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Geschieden,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",44141,68
IDDE100222,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",47443,44
IDDE100223,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Bachelor einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Berufsqualifizierender Abschluss einer Berufsfachschule/eines Kollegs,30 Stunden in der Woche oder mehr,Verheiratet,Einer evangelischen Freikirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",91595,36
IDDE100226,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Selbstständig,Verheiratet,keine Antwort,weiss nicht,23617,63
IDDE100227,weiblich,Ja,Ja,Ja,über 1500 bis 1800 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Arbeitslos,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",47051,61
IDDE100229,weiblich,Ja,Ja,Ja,über 1500 bis 1800 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Diplom einer Berufsakademie,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verwitwet,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",40489,85
IDDE100232,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Verwaltungs-/Fachhochschule,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der evangelischen Kirche (ohne Freikirchen),"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",99310,42
IDDE100233,männlich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Eingetragene Lebenspartnerschaft,keine Antwort,Auszubildende,29410,20
IDDE100237,divers,Nein,Nein,Nein,bis 1100 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Geschieden,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",74582,54
IDDE100238,männlich,Ja,Ja,Ja,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),30 Stunden in der Woche oder mehr,Eingetragene Lebenspartnerschaft,Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",59423,23
IDDE100240,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Diplom einer Verwaltungs-/Fachhochschule,Meister-/Techniker- oder gleichwertiger Fachschulabschluss (inkl. Fachschule der ehemaligen DDR); Abschluss einer Fachakademie (Bayern),"Rentner, Ruhestand",Verwitwet,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",4157,74
IDDE100241,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Diplom einer Berufsakademie,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der römisch-katholischen Kirche,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",60437,76
IDDE100242,männlich,Ja,Ja,Ja,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Freie, akademische und technische Berufe wie: Arzt, Lehrer, Ingenieur, Künstler",74399,53
IDDE100243,weiblich,Ja,Ja,Ja,über 1800 bis 2200 €,Grundschule nicht beendet,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,weiss nicht,39615,66
IDDE100244,weiblich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,Verheiratet,Der römisch-katholischen Kirche,"Ausgebildete Arbeitskräfte in technischen und handwerklichen Berufen wie: KFZ-Mechaniker, Elektriker, Maler, Bäcker, Zimmerer",88633,40
IDDE100245,männlich,Ja,Ja,Ja,über 2200 bis 2600 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,"Diplom, Magister, Staatsexamen einer Universität, Kunst-, Musik- oder pädagogischen Hochschule",Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Geschieden,Der evangelischen Kirche (ohne Freikirchen),"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",38176,62
IDDE100246,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,keine Antwort,keine Antwort,"weitere Dienstleistungsberufe wie: Friseur, Servicekraft",52382,37
IDDE100248,männlich,Ja,Ja,Ja,über 1500 bis 1800 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,"Abschlusszeugnis Berufsgrundbildungsjahr, Berufsfachschule (Berufliche Grundkenntnisse), medizinische Hilfsberufe (1-jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",4329,33
IDDE100249,männlich,Ja,Ja,Nein,über 3560 bis 4250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Kein Studienabschluss,Kein Ausbildungsabschluss,30 Stunden in der Woche oder mehr,Verheiratet,keine Antwort,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",45894,46
IDDE100250,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Fachhochschulreife (Abschluss einer Fachoberschule etc.),Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Hausfrau, Hausmann ohne weitere sonstige Beschäftigung","Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",Der römisch-katholischen Kirche,"Büro und mittlere Verwaltungsebene wie: Sekretär, Sachbearbeiter, Büroleiter, öffentlich Angestellter, Buchhalter",84323,25
IDDE100251,männlich,Ja,Nein,Ja,über 4250 bis 5250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Diplom einer Verwaltungs-/Fachhochschule,Anderer beruflicher Ausbildungsabschluss,"Rentner, Ruhestand",Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",72072,57
IDDE100252,weiblich,Ja,Ja,Ja,über 2200 bis 2600 €,Volks-/Hauptschulabschluss bzw. Polytechnische Oberschule mit Abschluss 8. oder 9. Klasse,keine Antwort,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",71543,61
IDDE100253,männlich,Nein,Nein,Nein,über 1800 bis 2200 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),"Master oder Aufbaustudium einer Universität, Kunst-, Musik- oder pädagogischen Hochschule","Abschlusszeugnis für medizinische Assistenten, Krankenschwestern/ -pfleger (2- bis 3- jährige Schulen des Gesundheitswesens)",30 Stunden in der Woche oder mehr,Verheiratet,Dem Islam,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",26847,30
IDDE100254,weiblich,Ja,Ja,Ja,über 3000 bis 3560 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,Weniger als 30 Stunden in der Woche,Verheiratet,Der evangelischen Kirche (ohne Freikirchen),"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",59229,52
IDDE100255,weiblich,Ja,Ja,Ja,über 1100 bis 1500 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Diplom einer Berufsakademie,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",23684,45
IDDE100256,männlich,Ja,Ja,Ja,über 2600 bis 3000 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene gewerbliche oder landwirtschaftliche Lehre,30 Stunden in der Woche oder mehr,"Ledig, nie verheiratet und niemals in einer eingetragenen Lebenspartnerschaft",keine Antwort,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",74321,28
IDDE100257,männlich,Ja,Ja,Ja,über 3560 bis 4250 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,"Beruflich-betriebliche Anlernzeit mit Abschlusszeugnis, aber keine Lehre; Teilfacharbeiterabschluss",30 Stunden in der Woche oder mehr,keine Antwort,keine Antwort,keine Antwort,22529,30
IDDE100259,männlich,Ja,Nein,Nein,über 5250 bis 6250 €,Abitur bzw. Erweiterte Oberschule mit Abschluss 12. Klasse (Hochschulreife),Bachelor einer Berufsakademie,Abgeschlossene kaufmännische Lehre,30 Stunden in der Woche oder mehr,Verheiratet,Der griechisch-orthodoxen Kirche,"Höhere Verwaltungs- und Managementberufe wie: Bänker, Führungskraft im Großunternehmen, hoher Regierungsbeamter",64390,41
IDDE100260,männlich,Ja,Ja,Nein,über 2600 bis 3000 €,Mittlere Reife/Realschulabschluss bzw. Polytechnische Oberschule mit Abschluss 10. Klasse,Kein Studienabschluss,Abgeschlossene kaufmännische Lehre,"Rentner, Ruhestand",Verheiratet,keine Antwort,"Verkaufs- und Vertriebsberufe wie:Verkaufsleiter, Ladenbesitzer, Verkäufer, Versicherungsvertreter, Einkäufer",35447,65
