,unique_id,F7a,F7bA1,F7cA1,F7d,F7e,F7f,einkommen,F7g,F7h,F7i,F7j,F7k,F7lA1,F7mA1,F7n,F7o,wave_first
823,IDDE101041,2,16567,63,1,1,1,5,6,1,11,10,1,3,1,10,3,1
824,IDDE101043,1,66440,34,1,1,1,9,5,3,11,1,1,4,2,1,15,1
825,IDDE101044,1,38108,31,1,1,1,10,6,10,11,3,1,3,1,9,1,1
826,IDDE101045,2,65197,80,1,1,1,1,4,1,2,5,6,1,0,2,6,1
827,IDDE101046,2,4159,71,1,1,1,6,4,1,2,5,2,2,0,9,4,1
828,IDDE101048,1,42477,74,1,2,2,9,4,10,7,5,1,2,0,9,2,1
829,IDDE101049,2,21109,62,1,1,1,6,4,1,7,5,1,2,0,9,2,1
830,IDDE101051,1,80992,65,1,1,1,6,6,10,13,1,6,1,0,1,1,1
831,IDDE101052,2,60435,50,1,1,1,6,6,1,1,1,1,2,0,1,3,1
832,IDDE101054,1,58313,55,1,1,1,8,6,10,1,1,1,2,0,9,4,1
833,IDDE101055,1,71672,58,1,1,1,8,4,1,6,1,1,2,0,2,3,1
834,IDDE101056,2,58511,51,1,1,1,3,4,2,2,1,1,2,0,9,3,1
835,IDDE101058,2,95509,66,1,2,1,9,3,1,9,5,1,2,0,2,15,1
836,IDDE101060,1,50931,61,1,1,1,4,4,15,6,1,4,1,0,9,3,1
837,IDDE101061,1,10963,74,1,1,1,1,3,1,6,5,6,1,0,9,7,1
838,IDDE101063,1,4451,61,1,1,1,1,4,1,10,8,4,1,0,9,7,1
839,IDDE101065,1,55743,66,1,1,1,7,4,13,7,2,1,4,2,9,6,1
840,IDDE101066,2,57562,61,1,1,1,3,6,2,6,1,4,1,0,9,1,1
841,IDDE101067,1,45768,71,1,1,1,6,4,1,7,5,1,2,0,9,3,1
842,IDDE101068,1,42857,43,1,1,1,5,3,15,13,1,1,5,3,3,6,1
843,IDDE101069,2,40229,27,1,1,1,9,5,1,4,1,1,2,0,9,3,1
844,IDDE101070,1,74076,27,1,1,1,6,6,1,6,7,6,2,0,2,9,1
845,IDDE101071,1,70825,23,1,2,2,10,5,1,1,1,6,4,0,6,5,1
846,IDDE101072,1,8228,42,1,1,1,6,4,1,6,1,1,2,0,9,7,1
847,IDDE101073,2,37603,77,1,1,1,4,4,1,8,5,4,3,0,1,3,1
848,IDDE101074,1,4179,67,1,1,1,8,4,1,1,1,1,2,0,9,3,1
849,IDDE101075,2,97990,51,1,1,2,1,3,15,7,2,1,5,0,2,7,1
850,IDDE101077,1,14055,76,1,1,2,9,6,12,7,5,1,2,0,9,2,1
851,IDDE101080,2,65795,53,1,1,1,10,6,1,11,2,1,4,2,1,3,1
852,IDDE101081,1,76467,56,1,1,1,10,6,10,7,1,1,2,0,9,2,1
853,IDDE101082,2,69168,66,1,1,1,7,6,10,11,5,4,1,0,9,1,1
854,IDDE101083,1,72655,43,1,1,1,5,6,1,7,1,6,1,0,2,6,1
855,IDDE101084,1,71364,38,1,1,1,7,4,1,6,1,6,3,0,9,7,1
856,IDDE101085,1,96129,49,1,1,1,4,4,1,7,1,5,1,0,9,8,1
857,IDDE101087,2,59759,58,1,1,1,4,4,1,8,1,6,1,0,1,14,1
858,IDDE101089,1,22769,62,1,1,1,1,3,1,1,8,6,1,0,2,7,1
859,IDDE101090,1,91058,27,1,1,1,8,6,11,1,1,2,2,0,9,14,1
860,IDDE101091,2,22177,60,1,1,1,5,3,1,2,1,4,2,0,2,3,1
861,IDDE101092,1,47167,43,1,1,1,5,6,13,1,1,6,2,0,1,15,1
862,IDDE101094,1,26524,48,1,1,1,7,4,11,3,1,1,4,2,9,4,1
863,IDDE101095,2,78247,45,1,1,1,7,5,9,7,1,6,1,0,1,4,1
864,IDDE101096,1,94051,42,1,1,1,9,4,1,3,1,1,2,0,1,3,1
865,IDDE101097,1,47809,28,1,1,1,10,6,11,1,1,1,2,0,9,1,1
866,IDDE101098,2,22459,53,1,1,1,9,5,1,2,1,1,5,3,9,7,1
867,IDDE101099,2,33647,63,1,1,1,1,3,1,7,2,4,1,0,1,6,1
868,IDDE101101,2,71144,74,1,1,1,8,6,1,11,5,1,2,0,2,3,1
869,IDDE101102,2,47802,61,1,1,1,6,6,1,7,6,1,2,0,2,3,1
870,IDDE101104,2,44267,54,1,1,1,7,6,1,7,1,1,2,0,9,4,1
871,IDDE101105,2,78224,62,1,1,1,2,3,1,6,2,4,2,0,2,5,1
872,IDDE101106,2,31177,56,2,2,2,7,7,15,13,3,8,1,0,9,15,1
873,IDDE101107,1,31234,55,1,1,1,4,3,15,10,1,2,2,0,2,10,1
874,IDDE101108,1,55118,37,2,2,2,6,6,10,11,1,6,1,0,8,1,1
875,IDDE101109,1,9119,54,1,1,1,10,4,13,10,1,6,1,0,9,1,1
876,IDDE101110,2,14913,55,1,1,1,2,6,15,6,2,1,2,0,1,7,1
877,IDDE101111,2,39340,46,2,2,2,6,6,10,11,2,1,3,1,2,1,1
878,IDDE101112,2,1157,56,1,1,1,1,4,1,7,8,6,1,0,9,3,1
879,IDDE101113,1,90491,65,1,1,1,2,3,1,7,8,6,1,0,1,7,1
880,IDDE101114,1,35781,53,1,1,1,7,5,1,6,1,1,3,1,2,7,1
881,IDDE101115,1,1705,23,1,1,1,8,4,5,8,1,6,3,1,9,5,1
882,IDDE101116,1,89346,35,1,1,1,7,3,13,10,1,5,1,0,10,15,1
883,IDDE101118,1,48143,31,1,1,1,2,5,7,4,1,2,3,1,1,4,1
884,IDDE101119,1,24143,35,2,2,2,9,6,1,5,1,1,3,1,9,3,1
885,IDDE101121,2,26446,46,1,1,1,10,6,10,10,1,2,2,0,1,3,1
886,IDDE101123,2,30165,23,1,1,1,7,7,7,11,7,6,4,0,2,1,1
887,IDDE101124,1,81241,61,1,2,2,10,6,11,11,1,1,2,0,1,2,1
888,IDDE101125,2,23626,35,1,1,1,4,5,13,7,2,6,4,0,2,14,1
889,IDDE101126,1,78224,72,1,1,1,1,6,5,7,5,1,2,0,9,2,1
890,IDDE101127,2,9456,49,1,1,1,4,4,1,4,1,4,1,0,9,5,1
891,IDDE101128,2,8248,78,1,1,1,4,4,1,7,5,3,1,0,9,3,1
892,IDDE101129,2,31832,50,1,1,1,1,3,1,6,8,4,1,0,9,7,1
893,IDDE101130,2,50827,37,1,1,2,4,5,7,8,2,4,2,1,6,2,1
894,IDDE101131,1,70806,57,1,1,1,3,3,1,9,5,6,1,0,9,3,1
895,IDDE101132,1,60385,46,1,1,1,10,5,8,7,1,1,3,1,9,4,1
896,IDDE101133,2,45888,43,1,1,1,8,5,4,4,1,1,2,0,3,5,1
897,IDDE101134,1,47441,49,1,1,1,4,4,1,7,1,4,1,0,2,3,1
898,IDDE101135,1,1099,22,1,1,1,5,6,7,1,7,6,1,0,9,13,1
899,IDDE101137,2,64372,75,1,1,1,5,4,15,7,5,1,2,0,2,4,1
900,IDDE101140,1,97517,33,1,1,1,5,5,1,6,1,6,1,0,1,5,1
901,IDDE101141,1,74249,72,1,1,1,6,6,10,10,5,4,1,0,2,1,1
902,IDDE101142,1,31008,41,1,1,1,8,4,15,6,1,1,4,2,9,7,1
903,IDDE101143,1,30880,39,1,1,1,9,6,1,8,1,1,4,2,2,15,1
904,IDDE101144,1,55129,45,1,1,1,10,5,1,10,1,1,2,0,9,3,1
905,IDDE101145,1,24306,58,1,1,1,10,6,11,13,3,1,2,0,9,1,1
906,IDDE101146,2,64347,51,1,1,1,7,4,1,5,1,1,5,3,9,3,1
907,IDDE101147,1,72805,28,1,1,1,10,5,1,11,2,1,2,0,9,8,1
908,IDDE101148,2,49808,24,1,1,1,5,6,7,1,7,6,3,0,1,13,1
909,IDDE101149,1,41540,23,1,1,1,4,3,7,4,9,3,1,0,4,3,1
910,IDDE101150,1,41812,72,1,1,1,4,4,1,5,5,1,2,0,1,15,1
911,IDDE101151,2,36355,61,1,1,1,10,4,4,4,1,1,3,1,2,5,1
912,IDDE101152,1,58675,40,1,1,1,7,4,1,10,1,1,6,4,2,3,1
913,IDDE101156,2,3238,47,1,1,1,5,6,1,11,1,4,2,1,9,3,1
914,IDDE101157,1,51143,48,1,1,1,3,3,1,1,1,4,2,1,9,8,1
915,IDDE101158,2,87662,22,1,1,1,4,6,1,7,2,6,4,0,1,13,1
916,IDDE101159,1,2929,34,1,1,1,6,4,1,6,1,6,4,2,1,7,1
917,IDDE101160,1,24148,37,1,1,1,6,3,1,1,1,6,2,0,2,8,1
918,IDDE101161,1,99094,63,1,1,1,6,6,10,1,1,1,2,0,9,1,1
919,IDDE101163,1,12627,66,1,1,1,1,4,15,13,5,4,1,0,9,15,1
920,IDDE101166,1,67269,47,1,1,1,8,4,15,10,1,1,2,0,2,3,1
921,IDDE101168,1,97789,82,1,1,1,3,3,1,6,5,1,2,0,9,8,1
922,IDDE101169,1,46244,33,1,1,1,4,6,1,8,1,6,1,0,2,14,1
923,IDDE101173,1,92318,22,1,1,1,8,6,1,1,1,6,3,1,10,5,1
924,IDDE101174,2,4209,72,1,1,1,5,7,1,7,5,1,2,0,9,14,1
925,IDDE101175,1,45896,36,2,2,2,3,4,13,2,1,2,5,3,2,3,1
926,IDDE101176,2,79114,71,1,1,1,3,3,1,7,5,4,1,0,9,3,1
927,IDDE101177,1,28205,70,2,2,2,7,6,10,12,5,4,2,0,1,14,1
928,IDDE101178,2,51105,29,2,2,2,2,6,9,11,7,6,2,0,5,12,1
929,IDDE101179,1,32105,62,1,1,2,1,6,1,1,5,6,1,0,1,9,1
930,IDDE101180,2,59556,56,1,1,1,8,5,1,1,3,1,3,1,1,1,1
931,IDDE101181,1,31535,48,1,2,2,6,4,11,8,1,6,1,0,1,3,1
932,IDDE101182,1,57072,63,1,1,1,6,3,1,6,1,1,2,0,1,3,1
933,IDDE101183,1,15827,26,1,2,2,3,5,1,3,1,8,4,0,10,15,1
934,IDDE101184,1,87629,38,1,1,1,5,4,1,7,1,6,2,0,1,14,1
935,IDDE101185,1,35415,75,1,1,1,5,3,13,6,5,3,3,0,2,3,1
936,IDDE101186,1,97464,37,1,1,1,7,4,1,6,1,1,4,2,2,2,1
937,IDDE101187,2,16727,28,1,1,1,10,5,1,11,1,2,2,0,9,3,1
938,IDDE101188,2,10115,19,1,1,1,1,4,1,2,1,6,1,0,2,12,1
939,IDDE101189,1,99846,65,1,1,1,7,6,10,13,5,1,2,0,9,1,1
940,IDDE101190,1,45699,68,1,1,1,3,3,13,2,5,4,1,0,9,7,1
941,IDDE101192,2,68307,51,1,1,1,8,6,1,7,6,1,2,0,1,14,1
942,IDDE101193,2,27711,41,1,1,1,5,4,1,7,1,4,2,1,9,5,1
943,IDDE101194,1,27383,52,1,1,1,7,6,10,1,6,1,4,0,9,1,1
944,IDDE101195,1,38176,57,1,1,1,7,4,1,7,1,1,2,0,2,7,1
945,IDDE101196,2,67308,46,1,1,1,1,6,8,11,2,6,2,0,2,9,1
946,IDDE101197,1,63329,55,1,1,1,9,6,4,11,1,1,3,1,2,3,1
947,IDDE101200,1,50829,33,2,2,2,1,6,1,1,8,6,1,0,9,12,1
948,IDDE101203,2,65847,51,1,1,1,8,4,5,11,1,6,1,0,2,3,1
949,IDDE101204,1,97222,48,1,1,1,10,6,10,11,1,1,2,0,9,1,1
950,IDDE101205,2,90429,63,1,2,1,1,6,10,7,3,6,1,0,9,1,1
951,IDDE101206,2,76756,54,1,1,1,4,3,1,7,6,1,2,0,9,15,1
952,IDDE101207,1,35392,34,1,1,1,1,6,2,11,8,6,1,0,1,3,1
953,IDDE101208,1,97084,42,1,1,1,8,5,1,11,1,6,1,0,9,2,1
954,IDDE101209,2,9465,55,1,1,1,5,6,15,10,1,1,4,2,9,3,1
955,IDDE101210,1,35469,58,1,1,1,5,6,3,13,5,6,1,0,2,1,1
956,IDDE101211,1,95326,44,1,2,2,4,3,1,6,1,1,3,1,6,4,1
957,IDDE101212,2,68161,77,1,1,1,5,5,10,13,5,1,2,0,2,3,1
958,IDDE101213,2,4668,63,1,2,1,6,4,1,9,9,3,2,0,9,15,1
959,IDDE101214,2,50735,66,1,1,1,2,6,1,6,5,4,1,0,1,3,1
960,IDDE101216,2,7907,37,1,1,1,2,4,1,3,5,1,2,1,10,4,1
961,IDDE101218,2,42281,54,1,1,1,1,4,1,11,5,6,1,0,9,15,1
962,IDDE101219,1,76227,34,2,2,2,4,4,15,1,1,6,1,0,1,9,1
963,IDDE101220,2,60529,59,1,1,1,9,4,1,5,5,1,2,0,10,6,1
964,IDDE101221,2,12555,61,1,1,1,7,6,11,11,1,4,1,0,10,1,1
965,IDDE101222,1,53773,72,1,1,1,9,4,9,10,5,1,2,0,9,15,1
966,IDDE101223,1,99817,54,1,1,1,5,4,1,6,1,6,2,0,9,4,1
967,IDDE101226,2,75210,72,1,1,1,3,3,15,2,5,3,1,0,2,15,1
968,IDDE101227,1,75181,42,1,2,2,8,6,11,11,1,1,4,2,6,3,1
969,IDDE101228,2,27809,64,1,1,1,1,5,1,2,5,4,1,0,2,6,1
970,IDDE101229,1,56112,26,1,1,1,9,5,10,4,1,6,2,0,2,5,1
971,IDDE101230,1,53227,38,1,1,1,7,6,3,8,1,1,2,0,9,2,1
972,IDDE101231,2,39122,46,1,1,1,7,6,6,11,1,1,5,3,9,15,1
973,IDDE101232,2,60437,52,2,2,2,1,7,13,3,1,1,2,0,10,15,1
974,IDDE101233,1,44147,44,1,1,1,9,6,10,8,1,1,4,2,2,1,1
975,IDDE101234,1,41747,62,1,1,1,5,4,1,11,3,1,2,0,3,1,1
976,IDDE101235,2,50735,62,1,1,1,1,4,13,7,5,3,1,0,2,15,1
977,IDDE101236,2,4207,61,1,1,1,6,4,1,6,2,1,2,0,9,6,1
978,IDDE101237,1,88250,61,1,1,1,6,4,1,7,1,2,2,0,1,3,1
979,IDDE101238,2,69168,20,1,2,2,6,5,1,8,1,7,5,1,6,3,1
980,IDDE101239,2,63607,65,2,2,2,5,6,7,13,3,4,1,0,9,1,1
981,IDDE101240,2,99099,56,1,1,1,3,4,1,9,8,6,2,0,9,5,1
982,IDDE101242,1,31141,21,1,1,1,7,6,3,5,1,6,2,0,9,2,1
983,IDDE101243,1,42857,31,1,2,1,9,5,1,7,1,1,4,2,3,4,1
984,IDDE101244,2,13187,39,1,1,1,10,7,4,13,2,1,4,2,10,3,1
985,IDDE101245,2,13599,71,1,1,1,4,3,1,7,5,1,2,0,9,3,1
986,IDDE101246,1,74214,59,1,1,1,5,3,1,2,1,6,1,0,1,7,1
987,IDDE101247,2,38350,36,1,1,1,9,4,1,6,1,1,2,0,9,14,1
988,IDDE101248,1,40668,51,1,1,1,7,4,1,7,1,2,2,0,9,4,1
989,IDDE101249,2,29553,50,1,1,1,5,4,1,7,1,6,1,0,9,3,1
990,IDDE101250,2,88437,32,1,1,1,3,6,4,4,8,4,5,3,1,4,1
991,IDDE101251,1,70806,55,1,1,1,5,4,1,6,2,1,2,0,1,7,1
992,IDDE101252,1,92431,28,1,1,1,8,6,1,6,7,6,4,0,1,13,1
993,IDDE101253,2,38836,47,1,1,1,2,4,11,7,1,1,3,1,9,4,1
994,IDDE101254,2,51145,66,1,1,1,4,4,1,7,2,1,3,0,1,3,1
995,IDDE101255,2,26123,51,1,1,1,2,3,1,2,8,6,1,0,1,7,1
996,IDDE101256,1,70597,39,1,1,1,9,6,9,10,1,1,2,0,2,1,1
997,IDDE101257,2,12689,70,1,1,1,1,6,13,11,5,6,1,0,9,15,1
998,IDDE101258,2,76228,14,2,2,2,1,3,15,13,12,8,4,2,10,15,1
999,IDDE101259,2,41334,40,1,1,1,2,5,14,7,3,6,2,1,9,1,1
1000,IDDE101260,2,4107,60,1,1,1,5,6,10,11,1,4,1,0,9,3,1
1001,IDDE101261,2,16244,45,1,1,1,8,6,1,4,1,6,2,0,9,5,1
1002,IDDE101262,2,10709,52,1,1,1,3,4,1,7,3,6,1,0,9,1,1
1003,IDDE101264,1,45144,55,1,1,1,5,5,1,10,1,6,1,0,9,1,1
1004,IDDE101266,1,10315,43,1,1,1,4,3,1,6,1,6,1,0,9,7,1
1005,IDDE101267,2,4600,47,1,1,1,3,4,1,7,1,4,2,1,9,7,1
1006,IDDE101268,1,1067,49,1,1,1,6,6,4,10,1,1,2,0,9,3,1
1007,IDDE101269,1,19057,52,1,1,1,6,4,1,8,1,2,2,0,2,7,1
1008,IDDE101270,2,85521,58,2,2,2,10,6,10,11,1,8,2,0,9,2,1
1009,IDDE101271,1,58579,44,1,1,1,7,6,11,7,1,1,5,3,2,4,1
1010,IDDE101272,2,6803,45,1,1,1,7,5,1,7,1,1,2,0,9,3,1
1011,IDDE101273,1,10365,20,1,1,1,4,3,1,1,8,6,3,0,9,14,1
1012,IDDE101274,1,53177,73,1,1,1,7,4,10,10,5,4,2,0,2,1,1
1013,IDDE101275,1,33428,33,1,1,1,9,5,1,10,1,1,2,0,9,1,1
1014,IDDE101276,2,14193,75,1,1,1,4,7,1,2,5,5,1,0,3,4,1
1015,IDDE101277,2,27574,70,1,1,1,1,6,4,8,5,6,1,0,9,3,1
1016,IDDE101278,1,12459,47,1,1,1,6,6,11,10,1,5,1,0,9,1,1
1017,IDDE101279,1,22850,48,1,1,1,9,4,1,11,1,1,3,0,9,7,1
1018,IDDE101280,2,63755,55,1,1,1,5,6,1,7,2,4,2,1,2,3,1
1019,IDDE101282,1,22850,33,1,1,1,7,5,1,11,1,2,4,2,9,5,1
1020,IDDE101283,2,82166,50,2,2,2,10,6,6,13,6,1,4,2,10,1,1
1021,IDDE101284,2,60598,50,1,1,1,7,6,10,7,1,6,1,0,3,3,1
1022,IDDE101285,1,90489,50,1,1,1,8,4,1,7,1,1,4,2,9,3,1
1023,IDDE101286,2,10559,30,1,2,2,10,6,7,11,1,6,1,0,10,1,1
1024,IDDE101287,1,88719,42,1,1,1,10,6,4,1,3,1,2,0,9,1,1
1025,IDDE101288,1,21039,66,1,1,1,6,4,1,10,5,1,2,0,9,6,1
1026,IDDE101289,2,89081,40,1,1,1,6,4,1,4,1,6,1,0,9,5,1
1027,IDDE101290,1,22309,60,1,1,1,10,6,11,1,3,1,2,0,9,1,1
1028,IDDE101291,1,22880,40,1,2,1,7,4,1,5,1,1,4,2,1,3,1
1029,IDDE101292,1,32609,52,1,1,1,9,6,6,7,1,1,2,0,2,2,1
1030,IDDE101293,2,10178,76,1,1,1,8,6,12,4,5,1,2,0,9,1,1
1031,IDDE101295,2,18106,35,1,1,1,3,4,1,11,1,6,1,0,9,7,1
1032,IDDE101296,2,42929,57,1,1,1,5,4,8,11,6,1,2,0,1,8,1
1033,IDDE101298,2,40223,25,1,1,1,2,6,7,1,7,6,2,1,9,13,1
1034,IDDE101300,1,16348,67,1,1,1,5,6,10,8,5,1,2,0,9,2,1
1035,IDDE101301,1,71384,75,1,1,1,6,6,10,5,5,1,2,0,9,2,1
1036,IDDE101303,2,47829,36,2,2,2,6,4,1,7,2,1,4,2,5,4,1
1037,IDDE101304,1,86500,54,1,1,2,5,6,6,10,1,6,2,1,1,7,1
1038,IDDE101305,2,34117,30,1,1,1,1,6,7,1,7,6,1,0,2,2,1
1039,IDDE101306,2,49565,72,1,1,1,8,4,1,7,11,3,2,0,9,15,1
1040,IDDE101308,2,90599,58,1,1,1,3,4,13,11,2,1,2,0,9,8,1
1041,IDDE101309,1,79618,61,1,1,1,6,3,1,6,1,4,1,0,9,3,1
1042,IDDE101310,2,68766,33,1,1,1,1,2,1,2,10,1,5,3,9,12,1
1043,IDDE101311,2,22159,67,1,1,1,4,4,15,7,5,1,2,0,2,3,1
1044,IDDE101312,2,21614,46,1,2,1,10,4,15,7,2,1,3,1,2,3,1
1045,IDDE101315,1,58642,61,2,1,1,1,6,10,12,9,4,1,0,1,1,1
1046,IDDE101316,2,72202,24,1,1,1,8,4,10,7,1,6,2,0,2,4,1
1047,IDDE101317,1,6484,67,1,1,1,5,4,1,10,5,1,2,0,9,7,1
1048,IDDE101320,2,15834,52,1,1,1,7,6,4,9,1,6,1,0,9,2,1
1049,IDDE101321,2,74363,56,1,1,1,1,5,15,13,12,8,1,0,9,15,1
1050,IDDE101323,1,40591,39,1,2,2,10,6,6,10,1,1,4,2,6,7,1
1051,IDDE101324,1,74564,31,1,1,1,5,4,10,11,1,5,1,0,9,14,1
1052,IDDE101325,1,34312,41,1,1,1,1,5,1,6,8,8,1,0,9,15,1
1053,IDDE101326,2,35781,76,1,1,1,1,4,1,10,5,3,1,0,1,5,1
1054,IDDE101327,2,50935,75,1,1,1,10,6,10,12,5,1,2,0,9,1,1
1055,IDDE101328,1,14165,70,1,1,1,10,6,10,11,5,1,2,0,2,2,1
1056,IDDE101329,1,35516,65,1,1,1,5,6,15,8,5,6,1,0,9,15,1
1057,IDDE101330,2,39112,55,1,1,1,1,4,15,1,5,4,1,0,9,6,1
1058,IDDE101331,2,35767,18,1,1,1,3,6,1,1,7,6,4,1,9,13,1
1059,IDDE101332,2,38855,39,1,1,1,1,4,13,13,5,6,1,0,9,15,1
1060,IDDE101334,2,47475,58,1,1,1,4,5,1,11,6,4,3,0,1,6,1
1061,IDDE101335,2,6774,49,1,1,1,7,6,3,4,5,1,2,0,9,5,1
1062,IDDE101337,1,49143,28,1,1,1,3,3,1,3,2,6,3,0,2,5,1
1063,IDDE101339,2,58091,45,2,2,2,2,5,1,7,2,1,2,0,1,4,1
1064,IDDE101341,1,50667,48,2,2,2,5,5,5,6,1,1,3,1,4,4,1
1065,IDDE101342,1,51061,55,1,1,1,6,4,1,1,1,6,1,0,9,14,1
1066,IDDE101343,2,94315,72,1,1,1,8,6,12,12,5,2,2,0,9,1,1
1067,IDDE101344,2,67677,75,1,1,1,3,3,1,1,5,1,2,0,9,15,1
1068,IDDE101346,2,50259,57,1,1,1,2,4,1,8,9,4,1,0,1,3,1
1069,IDDE101347,2,32425,63,1,1,1,1,2,15,1,5,4,1,0,2,15,1
1070,IDDE101348,2,73614,41,1,1,1,6,6,5,4,1,1,4,2,9,4,1
1071,IDDE101349,1,91564,51,1,1,1,7,4,9,2,1,1,2,0,9,7,1
1072,IDDE101351,2,91207,65,1,2,1,7,4,15,5,5,1,2,0,2,3,1
1073,IDDE101354,1,53844,48,1,1,1,8,6,10,6,1,1,2,0,9,4,1
1074,IDDE101355,2,81243,20,1,1,1,1,6,1,1,7,6,1,0,2,13,1
1075,IDDE101356,1,71640,64,1,1,1,9,6,10,12,1,1,2,0,8,2,1
1076,IDDE101358,2,87439,72,1,2,2,5,3,1,1,5,1,2,0,1,7,1
1077,IDDE101359,1,32369,62,1,1,1,10,6,11,1,1,1,2,0,2,4,1
1078,IDDE101360,1,61267,43,1,1,1,5,4,1,9,1,1,3,1,9,3,1
1079,IDDE101361,1,66787,66,1,1,1,7,4,1,1,5,1,3,0,9,2,1
1080,IDDE101363,1,50127,40,1,1,1,8,6,1,7,1,6,3,1,2,3,1
1081,IDDE101364,2,38159,56,1,1,1,10,6,3,11,1,1,2,0,2,2,1
1082,IDDE101365,1,24217,61,1,1,1,1,3,1,6,5,1,2,0,9,15,1
1083,IDDE101366,1,90475,59,1,1,1,4,3,1,6,9,4,1,0,8,14,1
1084,IDDE101367,2,52353,43,1,1,1,9,4,14,10,1,1,3,1,2,3,1
1085,IDDE101369,1,9337,32,1,1,1,6,4,1,6,1,2,2,0,9,5,1
1086,IDDE101371,1,40219,46,1,1,1,5,6,1,7,1,6,1,0,1,3,1
1087,IDDE101372,1,65396,70,1,1,1,7,4,1,8,5,1,2,0,2,1,1
1088,IDDE101373,2,98527,50,1,1,1,1,5,15,7,8,6,1,0,9,4,1
1089,IDDE101374,1,69168,37,1,1,2,9,6,1,7,1,1,4,2,9,1,1
1090,IDDE101375,1,50674,24,1,1,1,3,6,7,1,2,6,2,0,1,1,1
1091,IDDE101376,1,69221,63,1,1,1,9,4,4,5,1,1,2,0,2,2,1
1092,IDDE101377,1,33098,54,1,1,1,4,4,1,3,1,4,1,0,9,7,1
1093,IDDE101378,2,12249,42,1,1,1,1,6,10,1,1,1,2,0,10,1,1
1094,IDDE101379,2,12557,52,1,1,1,9,6,13,4,1,1,2,0,9,5,1
1095,IDDE101380,1,86551,52,1,2,1,10,6,6,10,1,6,3,1,10,1,1
1096,IDDE101381,2,4600,43,1,1,1,8,4,1,10,1,1,5,3,9,6,1
1097,IDDE101382,1,14469,30,1,1,1,2,6,2,1,10,7,2,0,9,1,1
1098,IDDE101383,1,41236,48,1,1,1,1,7,13,10,1,8,2,0,8,15,1
1099,IDDE101384,2,34134,56,1,1,1,7,3,1,6,1,1,2,0,9,5,1
1100,IDDE101385,2,18573,50,1,1,1,7,5,5,10,1,1,2,0,9,5,1
1101,IDDE101386,1,9557,30,1,1,1,5,5,6,10,1,1,2,0,9,7,1
1102,IDDE101387,1,32683,37,1,1,1,5,4,6,10,1,1,4,2,2,7,1
1103,IDDE101390,1,81545,70,1,1,1,2,6,1,11,5,6,1,0,9,4,1
1104,IDDE101391,1,69469,56,1,2,1,10,6,2,7,1,5,1,0,9,2,1
1105,IDDE101392,1,96055,33,1,1,1,8,6,15,10,1,6,3,1,1,7,1
1106,IDDE101393,1,68753,71,1,1,1,8,6,10,11,5,1,2,0,1,1,1
1107,IDDE101394,2,98527,63,1,1,1,2,6,10,11,12,4,1,0,9,1,1
1108,IDDE101395,1,60435,49,1,1,1,6,6,1,2,1,1,2,0,1,3,1
1109,IDDE101397,2,80797,53,1,1,1,2,6,10,11,1,6,1,0,8,1,1
1110,IDDE101402,2,52224,55,1,1,1,1,4,15,7,6,3,1,0,1,4,1
1111,IDDE101403,2,69469,60,1,1,1,1,6,1,11,3,4,1,0,9,1,1
1112,IDDE101404,2,70376,71,1,1,1,2,4,1,3,5,4,1,0,1,3,1
1113,IDDE101405,1,97080,25,1,1,1,10,6,11,1,7,6,4,2,9,13,1
1114,IDDE101406,1,57271,50,1,1,1,2,3,1,6,5,4,1,0,2,7,1
1115,IDDE101407,1,57072,59,1,2,1,5,3,1,1,1,1,3,1,2,8,1
1116,IDDE101408,1,4319,34,1,1,1,10,4,1,4,1,6,3,1,9,6,1
1117,IDDE101409,2,63225,67,1,1,2,6,4,1,4,5,1,2,0,2,5,1
1118,IDDE101411,1,21423,68,1,1,1,6,3,1,6,5,3,1,0,2,4,1
1119,IDDE101412,2,97519,60,1,1,1,7,4,1,8,5,1,2,0,1,5,1
1120,IDDE101414,1,46286,69,1,1,1,10,6,10,11,2,1,2,0,9,1,1
1121,IDDE101415,1,53797,39,1,1,1,6,4,1,7,1,6,1,0,8,3,1
1122,IDDE101418,2,21107,42,1,1,1,8,4,4,7,1,6,1,0,10,3,1
1123,IDDE101419,2,56457,77,1,1,1,6,4,4,4,5,1,2,0,1,5,1
1124,IDDE101420,2,47829,34,1,1,1,4,6,7,13,1,6,1,0,2,1,1
1125,IDDE101421,1,21149,56,1,2,1,10,6,1,8,1,1,4,0,9,3,1
1126,IDDE101424,1,45127,55,1,2,1,3,5,2,7,1,4,2,0,1,4,1
1127,IDDE101425,2,28215,66,1,1,1,4,6,5,7,5,4,1,0,2,2,1
1128,IDDE101426,2,89264,70,1,1,1,5,5,1,7,5,4,1,0,9,15,1
1129,IDDE101427,2,76351,64,1,1,1,10,6,7,7,2,1,3,0,9,3,1
1130,IDDE101428,1,38122,84,1,1,1,6,4,1,7,5,1,2,0,2,3,1
1131,IDDE101429,2,24248,65,1,1,1,8,6,11,11,1,1,2,0,2,3,1
1132,IDDE101430,2,42349,53,1,2,2,7,6,1,4,2,1,5,3,9,5,1
1133,IDDE101431,1,53227,38,1,1,1,7,6,2,7,1,1,2,0,9,3,1
1134,IDDE101432,2,3253,37,1,1,1,7,5,1,4,1,6,3,0,9,8,1
1135,IDDE101433,2,60325,45,1,2,1,5,6,5,4,1,1,4,2,1,3,1
